School,District,Division1,Pupils,
Homing Dove Primary School,Moyo,39,90,
Lokwo P.7 School,Moyo,1,44,
Moyo Army Primary School,Moyo,6,26,
St.Kizito Pri. School,Mpigi,2,60,
Mitala Maria Primary School,Mpigi,2,63,
St.Mugagga Nkozi P/s,Mpigi,7,63,
Nkambo Primary School,Mpigi,1,31,
Buyala Primary School,Mpigi,2,49,
Lwaweeba Primary School,Mpigi,2,48,
Bessania Primary School,Mpigi,1,23,
St.Marys Bunjokko Pri.School,Mpigi,5,114,
Jjeza Primary School,Mpigi,5,113,
Nkozi Demonstration School,Mpigi,2,45,
Mabuye Katente Primary School,Mpigi,3,63,
Bujuuko Umea Primary School,Mpigi,4,78,
Kibuuka Memorial Pri. School,Mpigi,4,42,
Buwanda Primary School,Mpigi,2,28,
Kitokola Pri.School,Mpigi,3,40,
St.Micheal Nswanjere P/S,Mpigi,5,47,
Bulamu Primary School,Mpigi,4,49,
Destiny Day And Boarding P/S,Mpigi,41,151,
Kyondo Primary School,Mpigi,16,54,
Hope Junior School,Mpigi,25,74,
Kamengo Grammar Primary School,Mpigi,15,43,
Muto Primary School,Mpigi,60,169,
Jjanya Primary School,Mpigi,2,95,
Kawumba Primary School,Mpigi,1,47,
St.Patrick Primary School,Mpigi,8,40,
Buyala Junior Primary School,Mpigi,27,59,
Ssenene Primary School,Mpigi,2,90,
Kkoge Mixd Primary School,Mpigi,1,45,
Lujumba Preparatory School,Mpigi,14,29,
Mpigi Central Primary School,Mpigi,15,68,
Kidondo Primary School,Mpigi,14,57,
Mpigi Umea Primary School,Mpigi,2,141,
Ssango Primary School,Mpigi,1,64,
Nsujjumpolwe Islamic & Ophans,Mpigi,15,19,
Junior Seminary Nswanjere P/S,Mpigi,24,28,
St.Kizito Namagogo P/S,Mubende,2,71,
Katente West Primary School,Mubende,2,51,
Kitonzi Primary School,Mubende,1,24,
Kabamba Primary School,Mubende,1,30,
Kawumulo Primary School,Mubende,1,105,
Kalonga Primary School,Mubende,1,100,
Buliisa United Pent P/S,Mubende,4,33,
Kasenyi Primary School,Mubende,7,150,
Kalaata  Primary School,Mubende,5,106,
Kattabalanaga Primary School,Mubende,3,63,
St.Mary Immaculate Mubende,Mubende,8,62,
Muyinayina Primary School,Mubende,12,201,
Nkokonjeru Primary School,Mubende,5,80,
Lwawuna Primary School,Mubende,3,62,
Mubende  Primary School,Mubende,10,157,
Kasambya D A School,Mubende,12,181,
Don Bosco Primary School,Mubende,2,30,
Kanyogogo Primary School,Mubende,4,56,
Kirumbi Primary School,Mubende,5,67,
Kaweeri Primary School,Mubende,7,68,
Mawujjo Primary School,Mubende,10,90,
Kyamuguluma Primary School,Mubende,5,57,
Kakindu V,Mubende,1,53,
Kakindu V,Mubende,1,53,
Mubende St.Joseph P.7 School,Mubende,7,23,
Rwegula Primary School,Mubende,1,49,
kakonyi Primary School,Mubende,1,48,
Mugungulu V,Mubende,3,134,
Kikungu Primary School,Mubende,3,131,
St.Kizito's R/C P/S,Mubende,2,85,
Buganyi Primary School,Mubende,1,76,
Kibalinga Primary School,Mubende,1,73,
Mubende Infants Primary School,Mubende,29,44,
Kisongola Primary School,Mubende,1,69,
Kyakasimbi Primary School,Mubende,1,62,
Buswera Primary School,Mubende,1,37,
Buswera Primary School,Mubende,1,37,
Katoma Primary School,Mubende,2,73,
Gwanika Primary School,Mubende,1,36,
Sempape Memorial Primary School,Mukono,1,35,
Kacu Primary School,Mukono,1,30,
Buliijo Primary School,Mukono,1,30,
Nakarinyi Primary School,Mukono,2,57,
Kiwanga C/U Primary School,Mukono,2,55,
New Horizon Primary School,Mukono,1,26,
Nakisunga R/C Primary School,Mukono,2,54,
Kiyunga Islamic Primary School,Mukono,4,128,
Seeta C/U Primary School,Mukono,7,63,
Joy Primary School,Mukono,2,18,
Seeta Nazigo Primary School,Mukono,1,31,
Namuyenje Primary School,Mukono,4,124,
St. Joseph Balikuddembe P/S,Mukono,10,87,
St. Augustine Seeta P/S,Mukono,21,176,
Kiyoola C/U Primary School,Mukono,1,17,
Kisowera Primary School,Mukono,3,50,
Sir Apollo Kaggwa Primary School,Mukono,6,45,
Nazigo Sseeta Primary School,Mukono,8,58,
Katente C/U Primary School,Mukono,3,62,
Abone Primary School,Mukono,2,41,
Kyetume Sda Primary School,Mukono,2,41,
Nakaswa C/U Primary School,Mukono,1,20,
St.Noah Mawagali Pri.Sch,Mukono,1,15,
Rookmaker Primary School,Mukono,1,19,
Makata Primary School,Mukono,2,38,
Buntubulamu C/U Primary School,Mukono,1,15,
Kivuvu Primary School,Mukono,2,30,
Mother Kevin Primary School,Mukono,7,74,
Kiwanga Umea Primary School,Mukono,6,87,
Wakiso Umea Primary School,Mukono,5,52,
Mukono Children's Home P/S,Mukono,3,31,
Nyenje Primary School,Mukono,2,20,
Nyenje Primary School,Mukono,2,20,
Kasenge Primary School,Mukono,5,68,
Maggwa C/U Ps,Mukono,11,147,
Kayanja Comity P/Sch,Mukono,16,105,
Namakwa C/U Primary School,Mukono,14,138,
Vicentalex Primary School,Mukono,13,83,
Namawojjolo Primary School,Mukono,7,82,
Kikandwa Primary School,Mukono,5,58,
Nezikookolima Infant P/S,Mukono,4,46,
Seeta Nazigo Sda Primary School,Mukono,5,57,
Nsambwe Primary School,Mukono,13,73,
Kimanje Parents Day Primary School,Mukono,9,31,
Kyoga C/U Primary School,Mukono,14,47,
Mukono Junior School,Mukono,6,20,
St.Andrew Kisoga Pri.School,Mukono,24,67,
Mwanyangiri Primary School,Mukono,20,106,
Paul Mukasa Primary School,Mukono,24,65,
Namiryango Day Boy P/S,Mukono,20,54,
Luwonge Primary School,Mukono,14,72,
Nakasenyi P/Sch,Mukono,1,47,
Nsamo Mixed Primary School,Mukono,31,77,
Katosi Trio Primary School,Mukono,17,42,
Kyabakadde C/U Primary School,Mukono,1,46,
Nama Umea Primary School,Mukono,2,90,
Frobel Primary School,Mukono,9,42,
Suubi Primary School,Mukono,16,34,
Mukono Junior School Baajjo,Mukono,5,23,
Bishop's West Primary School,Mukono,27,122,
kiwumu Primary School,Mukono,1,44,
Rock of Ages Primary School,Mukono,20,37,
St. Peters Nantubulirwa P/S,Mukono,20,80,
St.John Educational Centre,Mukono,35,63,
Bishop's Central Pri.Sch,Mukono,20,78,
Seeta Central Primary School,Mukono,8,30,
Kyetume C1/U Primary School,Mukono,1,42,
St.Andrew Bulerepri. School,Mukono,1,42,
St.Andrew Bulerepri. School,Mukono,1,42,
Kasawo Public Primary School,Mukono,1,76,
Kituulu P/Sch,Mukono,1,41,
Kibazo Primary School,Mukono,1,147,
New Hope for Africa Primary School,Mukono,1,39,
St.P.Ngondwe kattogo Primary School,Mukono,3,117,
Bishop's East Primary School,Mukono,1,59,
Jit Primary Schol,Mukono,53,66,
Elasto And Dorah Primary School,Mukono,42,51,
Seeta Parents Primary School,Mukono,147,165,
Ananda Marga P/Sch,Mukono,1,37,
Namagunga P/ Sch,Mukono,143,147,
Namilyango Junior Boys P/S,Mukono,128,129,
Lolachat Primary School,Nakapiripiriti,4,61,
Nakigulube R/C Primary School,Nakaseke,1,36,
Bukalabi C/U Primary School,Nakaseke,2,71,
Butatira Primary School,Nakaseke,11,301,
Lukyamuzi Umea Primary School,Nakaseke,1,28,
Kikandwa Primary School,Nakaseke,1,28,
Balatira Primary school,Nakaseke,2,62,
Kibose C/U Primary School,Nakaseke,1,25,
Lukese C/U Modern Pri.School,Nakaseke,1,23,
Mayirikiti Prog.Academy P/S,Nakaseke,1,95,
Magoma Othodox P7 School,Nakaseke,1,95,
Semuto Primary School,Nakaseke,4,89,
Sseggalye Primary School,Nakaseke,4,85,
Kasagga primary School,Nakaseke,3,51,
Nkuzongere Primary School,Nakaseke,8,134,
Maranatha Primary School,Nakaseke,4,80,
Kyajjinja Muslim School,Nakaseke,2,40,
Nakaseke Hill P.7 School,Nakaseke,2,40,
St.Peter Kibaale P/S,Nakaseke,1,15,
Ngoma Primary School,Nakaseke,7,133,
Wansalangi Primary School,Nakaseke,1,15,
Nakulamudde Primary School,Nakaseke,3,32,
Lujjumbi C/U Primary School,Nakaseke,5,72,
Kalagala R/U School,Nakaseke,2,35,
Kapeeka Primary School,Nakaseke,13,130,
Kamuli Primary School,Nakaseke,2,27,
Kaweweta Primary School,Nakaseke,3,40,
Kiwoko Primary School,Nakaseke,6,77,
Mifunya Primary School,Nakaseke,10,65,
Essubi Epya Voc Pri.School,Nakaseke,8,52,
Kiziba R/C Primary School,Nakaseke,4,37,
Kaloke Christian High School,Nakaseke,8,50,
Bukeeka Primary School,Nakaseke,1,42,
Kikondo C/U Primary School,Nakaseke,6,69,
Kaddunda Holy Ghost School,Nakaseke,11,64,
St.Kizito Lukumbi Pri.School,Nakaseke,33,76,
Wabulime Primary School,Nakasongola,1,34,
Kyabutayika P/S ,Nakasongola,1,30,
Ekitngaala P/S,Nakasongola,2,68,
Kyambogo Bululi P/S,Nakasongola,2,57,
Kakooge C/U Primary School,Nakasongola,8,73,
Irimba Primary School,Nakasongola,11,92,
Sokye Primary School,Nakasongola,1,88,
Kazwama R/C/P/S,Nakasongola,11,86,
Kyankonwa C/U Ps,Nakasongola,1,17,
Kabyoma Primary School,Nakasongola,2,41,
Wabinyonyl Sda Primary School,Nakasongola,5,74,
Nakasongola C/U Primary School,Nakasongola,6,78,
Mbalye R/C Primary School,Nakasongola,10,62,
Kakooge Ume P/S,Nakasongola,3,17,
Kyeyindula P/S,Nakasongola,8,27,
Irima R/C P/S,Nakasongola,1,51,
Kiguuli Army Primary School,Nakasongola,9,39,
Kakooga Parents Sch,Nakasongola,16,30,
Nakasongola Junior School,Nakasongola,19,35,
Migeera R/C Primary School,Nakasongola,18,31,
Nakasongola Parents,Nakasongola,21,35,
Nabiswea C/U Primary Shool,Nakasongola,1,70,
Kalalu Preparatory Sch,Nakasongola,1,40,
Kalalu Preparatory Sch,Nakasongola,1,40,
Kalalu Preparatory Sch,Nakasongola,1,40,
Kawondwe Primary School,Nakasongola,1,62,
Kakooge St Jude P/S,Nakasongola,69,70,
Lokupoi Primary School,Napak,3,87,
Kangore Girls P.7 School,Napak,8,67,
Kangole Boys P.7 School,Napak,7,55,
Nakiceleet Primary Schoo,Napak,4,47,
Rwantisinga Primary School,Napak,9,55,
Loodoi Primary School,Napak,1,59,
Jukia Primary School,Nebbi,1,36,
Wangkawa Primary School,Nebbi,1,36,
Thatha Primary School,Nebbi,1,36,
Paila Primary School,Nebbi,1,33,
Angal Boys Primary School,Nebbi,2,52,
Pumvuga Primary School,Nebbi,1,26,
Padwot P.7 School,Nebbi,1,27,
Nyacara Primary School,Nebbi,3,80,
St.Monica Girls Ps,Nebbi,1,32,
Kinju P.7 School,Nebbi,1,26,
Nebbi P.7 School,Nebbi,8,66,
Paroketo P7 School,Nebbi,1,16,
Italia P/S,Nebbi,2,30,
Angir Primary School,Nebbi,2,20,
Afere P7 School,Nebbi,3,43,
Parombo Primary school,Nebbi,5,70,
Nyakagei P7 School,Nebbi,4,28,
Mutiri P7 School,Nebbi,2,26,
Pagwaya Primary School,Nebbi,3,28,
Agwok P.7 Sch,Nebbi,8,49,
Nyaravur P7 School,Nebbi,4,46,
Pajobi P7 School,Nebbi,10,37,
Omach Primary School,Nebbi,11,62,
Akanyo P.7 School,Nebbi,1,52,
Panyigoro Primary School,Nebbi,1,47,
Padel P.7 School,Nebbi,1,43,
Pakwach Public School,Nebbi,1,70,
Owiny Primary School,Nebbi,1,60,
Ley Primary School,Nebbi,1,38,
Pakwach Girls P.7 School,Nebbi,1,38,
Koloin Primary School,Ngora,1,32,
Kapir Primary School,Ngora,3,65,
Agirigiroi Primary School,Ngora,1,70,
Akisim Primary School,Ngora,1,62,
Atiira Primary School,Ngora,3,116,
Atapar Primary School,Ngora,1,38,
Rwangara Primary School,Ntoroko,4,66,
Kyabandara Primary School,Ntoroko,3,63,
Bweramule Primary School,Ntoroko,1,49,
Makondo Primary School,Ntoroko,39,111,
Butungama Primary School,Ntoroko,71,101,
Kamuhiigi Primary School,Ntoroko,2,79,
Kasozi Primary School,Ntoroko,1,62,
Ntoroko Primary School,Ntoroko,1,57,
Bwizebwera P/S,Ntungamo,2,71,
Nyanga P/S,Ntungamo,2,70,
Kanyampumo Primary School,Ntungamo,1,33,
Ibaare P/S,Ntungamo,1,28,
Kagongi P/S,Ntungamo,1,28,
Kishami P/S,Ntungamo,1,32,
Kyamwasa P/S,Ntungamo,1,26,
Kashanda P/S,Ntungamo,1,23,
Kirama Primary School,Ntungamo,8,68,
Rukoni P/S,Ntungamo,6,51,
Rweikiniro P/S,Ntungamo,4,34,
Kacerere,Ntungamo,1,23,
Rukukuru P/S,Ntungamo,4,33,
Nyongozi Primary School,Ntungamo,8,66,
Rwenaanura P/S,Ntungamo,9,74,
Ogenyi P/S,Ntungamo,5,40,
Murambi 1 P/S,Ntungamo,1,85,
Rwera Mixed Ps,Ntungamo,4,68,
Kitwe Mixed P/S,Ntungamo,5,85,
Katooma Primary School,Ntungamo,5,38,
Rubaare Moslem P/S,Ntungamo,14,105,
Nyakihanga,Ntungamo,8,60,
Murambi P/S,Ntungamo,3,47,
Mpaama P/S,Ntungamo,2,31,
Bukoora Primary School,Ntungamo,1,20,
Rwamanyonyi Centre,Ntungamo,1,15,
Rwamahwa P/S,Ntungamo,2,30,
Kinyamagyera Primary School,Ntungamo,1,19,
Napumpum Ps,Ntungamo,1,15,
Nyakibobo Primary School,Ntungamo,2,22,
Nyakibobo Primary School,Ntungamo,2,22,
Nyakariro P/S,Ntungamo,2,29,
Burama P/S,Ntungamo,1,18,
Mitooma P/S,Ntungamo,4,71,
Rubaare P/s,Ntungamo,3,43,
St.Francis Primary School,Ntungamo,7,72,
Mutojo P/S,Ntungamo,9,90,
Kicece P/S,Ntungamo,2,20,
Kitembe P/S,Ntungamo,2,20,
Nyakisa Primary School,Ntungamo,3,41,
Kyafoora P/S,Ntungamo,6,41,
Kyamuteera P/S,Ntungamo,7,47,
Buhanama Primary School,Ntungamo,3,40,
Kakahooka,Ntungamo,2,26,
Nkongooro Primary School,Ntungamo,7,67,
Maato,Ntungamo,5,47,
Kaina P/S,Ntungamo,11,70,
Rwamwire P/S,Ntungamo,3,19,
Katojo P/S,Ntungamo,9,56,
Kabuhome,Ntungamo,7,43,
Butare Primary School,Ntungamo,2,23,
Bugona P/S,Ntungamo,9,54,
Kyemate Integrated,Ntungamo,9,54,
Ruragarama P/S,Ntungamo,13,77,
Ruyonza P/S,Ntungamo,1,54,
Ruyonza P/S,Ntungamo,1,54,
Rushooka P/S,Ntungamo,23,130,
Rukanga Primary School,Ntungamo,28,84,
Karagirwe Memorial,Ntungamo,5,27,
Ruhoko,Ntungamo,20,60,
Kayenge P/S,Ntungamo,22,65,
Ntungamo Pri,Ntungamo,12,35,
Kanonko P/s,Ntungamo,24,67,
Rwashamaire Primary School,Ntungamo,8,22,
Kitunga Boarding Pri.School,Ntungamo,38,99,
Parent Care Nkngooro,Ntungamo,14,36,
Victurious,Ntungamo,10,25,
Kafunjo P/S,Ntungamo,27,66,
Ruhaama P/S,Ntungamo,14,34,
Kamahuri P/S,Ntungamo,37,88,
Kajara Parents,Ntungamo,3,15,
Kizinga P/S,Ntungamo,14,68,
Nyakibigi Primary School,Ntungamo,13,63,
Nyakabungo 11 Primary School,Ntungamo,50,115,
Rubaare Grammer,Ntungamo,11,53,
Rwoho P/S,Ntungamo,35,75,
Kahunga P/S,Ntungamo,1,44,
Kahunga P/S,Ntungamo,1,44,
Nyamurindira,Ntungamo,9,18,
Mushasha P/S,Ntungamo,21,41,
KykarAmbi P/S,Ntungamo,12,51,
Kakungu P/S,Ntungamo,14,59,
Kiyanja P/S,Ntungamo,12,50,
Kanyarere P/S,Ntungamo,8,33,
Blue Hope P/S,Ntungamo,28,52,
Kikoni Sda,Ntungamo,7,28,
Kibaare P/S,Ntungamo,26,102,
Nyakika P/S,Ntungamo,10,39,
Nyamatete P/S,Ntungamo,1,42,
Mujwa Primary School,Ntungamo,10,38,
St.Ctherine Kagarama,Ntungamo,12,20,
Itojom Projressive,Ntungamo,34,50,
Kibeho P/S,Ntungamo,1,67,
Central Primary School,Ntungamo,1,66,
Ruhara Primary School,Ntungamo,1,63,
Rukoni Greenhill,Ntungamo,45,61,
Kitwe Town P/S,Ntungamo,26,30,
Mary And Pual Prep Sch,Ntungamo,18,20,
Bright Star,Ntungamo,27,30,
Mother Care,Ntungamo,78,86,
Grammer Kakyampumo,Ntungamo,22,24,
Rwetobo Prepatory,Ntungamo,46,46,
Little Angels,Ntungamo,22,23,
Anaka Central,Nwoya,1,36,
St.Luke Te-Olam,Nwoya,2,61,
Anaka P7,Nwoya,8,130,
Koch Kalang,Nwoya,2,42,
Koch Goma Central,Nwoya,2,40,
Koch Goma Central,Nwoya,2,40,
Paminyai P.7,Nwoya,2,20,
Purongo Hill,Nwoya,2,84,
Okwongo P.7,Otuke,1,26,
Anepmoroto Primary School,Otuke,5,44,
Autko Primary School,Otuke,2,48,
Acane P.7,Otuke,2,45,
Atanggwata P.7 School,Otuke,1,20,
Amintonyo,Otuke,4,75,
Adwari,Otuke,2,28,
Aliwang P7,Otuke,23,81,
Atapara  West P.7 School,Oyam,2,58,
Otwal Primary School,Oyam,2,63,
Aloni Primary School,Oyam,2,47,
Amaji Primary School,Oyam,1,88,
Acaba P7 School,Oyam,3,64,
Ayomapwono Primary School,Oyam,3,52,
Akura Primary School,Oyam,2,32,
Anyeke P7 School,Oyam,4,80,
Awio P7 School,Oyam,2,39,
Ocini P7 School,Oyam,2,38,
Acuta Primary School,Oyam,2,38,
Awelobutoryo P7 School,Oyam,4,59,
Iceme Primary School,Oyam,2,37,
Zambia Primary School,Oyam,8,50,
Kamdini P7 School,Oyam,1,56,
Kamdini P7 School,Oyam,1,56,
Rosanna Trotti Primary School,Oyam,12,39,
Fr.Oryang Memorial Pri.School,Oyam,1,51,
Loro Model Primary School,Oyam,7,37,
Aber P7 School,Oyam,20,86,
Agobadong P7 Primary School,Oyam,1,42,
Oyoe Primary School,Oyam,1,73,
Anyomolyec P.7 School,Oyam,1,40,
Atura Common P7 School,Oyam,1,64,
Omolo P.7 School,Oyam,1,63,
Lacekocot Primary School,Pader,3,81,
Agago Refugees School,Pader,1,32,
Wiliwili Primary School,Pader,1,31,
Bolo Primary School,Pader,1,31,
Dure Primary School,Pader,2,48,
Lacor Primary School,Pader,1,30,
Okinga Primary School,Pader,3,26,
St.Kizito Primary School,Pader,1,82,
Amilobo Primary School,Pader,1,16,
Rackoko Primary School,Pader,5,33,
Puranga Primary School,Pader,2,73,
Puranga Primary School,Pader,2,73,
Kilak Corner Primary School ,Pader,1,52,
Lagile Primary School,Pader,1,42,
Atanga Primary School,Pader,1,73,
Acholibur Primary School,Pader,1,60,
Puranga Primary School,Pader,2,73,
Adodoi Primary school,Pallisa,2,68,
Kachocha Primary School,Pallisa,6,168,
Komolo Akadot Primary School,Pallisa,2,53,
Ajepet Primary School,Pallisa,2,46,
Odwarat Primary School,Pallisa,1,100,
Nyakoi Primary School,Pallisa,1,98,
Odepai Primary School,Pallisa,1,90,
Opadoi Primary School,Pallisa,3,65,
Agule Primary School,Pallisa,3,51,
Kalaki Prmary School,Pallisa,7,115,
Odwarat Olwa Primary School,Pallisa,12,88,
Kasodo Primary School,Pallisa,4,84,
Fellowship Prime Academy,Pallisa,3,33,
Ngalwe Primary School,Pallisa,9,90,
Apopong Primary School,Pallisa,10,66,
Kaucho Primary School,Pallisa,10,129,
Nsangi Parents P/S,Pallisa,5,48,
Nasuleta Primary School,Pallisa,5,48,
Kameke Primary School,Pallisa,11,138,
Matakokore Primary School,Pallisa,6,57,
Limoto Primary School,Pallisa,10,94,
St.Francis Day & Boarding P/S,Pallisa,29,83,
Petete Primary School,Pallisa,2,92,
Pallisa Girls Primary School,Pallisa,14,33,
Kabwangasi College Dem Sch,Pallisa,2,88,
Mpongi Primary School,Pallisa,3,131,
Kachango Primary School,Pallisa,2,85,
Kachango Primary School,Pallisa,2,85,
Sidanyi,Pallisa,1,40,
Nasenyi Primary School,Pallisa,1,69,
Kachabali Primary School,Pallisa,1,63,
Kabwangasi Primary School,Pallisa,3,115,
Kamuge Station Primary School,Pallisa,1,58,
kabira P7 School,Rakai,1,36,
Muleebi Ps,Rakai,1,30,
Kirinda Primary School,Rakai,2,57,
Kiziba P7 shool,Rakai,1,33,
Njala School,Rakai,2,55,
Lukerere Ps,Rakai,1,26,
Kiswere Primary School,Rakai,2,52,
Buyamba R/C Primary School,Rakai,2,56,
Mbuye Primary School,Rakai,1,28,
Buyamba Muslim Primary School ,Rakai,1,27,
Bbuliro Primary School,Rakai,1,25,
Kifamba Primary School,Rakai,2,53,
Malemba Primary School,Rakai,1,25,
St. kizito Kasaka Ps,Rakai,11,99,
Kabuwoko Hill Ps,Rakai,3,72,
Kyanika Primary School,Rakai,5,120,
Kyanika Primary School,Rakai,5,120,
Kifukamiza Primary School,Rakai,6,52,
Kiweewa Foundation Ps,Rakai,5,43,
Kyakanyomozi Primary School,Rakai,2,46,
Lwamaggwa Ps,Rakai,1,95,
Kyabigonda Ps,Rakai,1,94,
Bbaka Primary School,Rakai,4,33,
Kagamba Primary School,Rakai,4,88,
Edwina Public School,Rakai,2,44,
St.Stanley Kisigulenyana P/S,Rakai,1,22,
Bisanje Primary School,Rakai,1,85,
Kabaale Ssanje Primary School,Rakai,11,86,
St. Kizito Kanyogoga Ps,Rakai,8,61,
Kyakuduse Primary School,Rakai,3,49,
Bbaale-Ggunda P.7 School,Rakai,8,59,
Lwakaloolo P.7 School,Rakai,4,29,
St. Matia Mulumba Kazo Ps,Rakai,5,36,
Lwengo Ps,Rakai,1,16,
Kakiri Primary School,Rakai,3,48,
Buzza P/S,Rakai,2,41,
Buziranduulu St.Kizito P/S,Rakai,2,32,
Mbuye Kiteredde Primary School,Rakai,5,36,
Kaleere Migongo Ps,Rakai,1,20,
Kacheera Mixed Primary School,Rakai,3,46,
Kiteezi C/U Primary School,Rakai,13,145,
Kibaale Comity Pri. School,Rakai,6,67,
Nkoni Ps,Rakai,2,38,
Lumbugu Primary School,Rakai,3,33,
Bugaaju Ps,Rakai,2,37,
Nsozibbiri Primary School,Rakai,4,43,
Manyama P/S,Rakai,3,55,
Kisaalizi Primary School,Rakai,3,32,
Kyabiwa Primary School,Rakai,8,85,
Kezekiya P/S,Rakai,3,53,
Kirangira Primary School,Rakai,5,71,
Kampangi Primary School,Rakai,2,28,
Bbaale Ps,Rakai,3,30,
St.Gonzaga Butiti Pri. School,Rakai,4,40,
Biwa Primary School,Rakai,2,27,
St.Imelda Nkenge Pri.School,Rakai,3,40,
St. John Bosco Mweruka Ps,Rakai,4,39,
St.Jude Kabuwoko Ps,Rakai,2,26,
Nalubira Ps,Rakai,2,26,
St.Jude Kabuwoko,Rakai,2,26,
Wanambwe Primary School,Rakai,2,25,
Ndolo Primary School,Rakai,4,48,
Kalisizo Primary School,Rakai,18,11,
Kampungu Ps,Rakai,1,56,
Nalukoola Memorial P.7 School,Rakai,1,56,
Kyotera Ps,Rakai,1,54,
Kangabwe Primary School,Rakai,20,69,
Kabuwoko Girl's Pri.Sch,Rakai,19,62,
St. Gabriel's Bethlehem Ps,Rakai,1,50,
Bulanga Primary School,Rakai,25,76,
Divine Grace Primary School,Rakai,22,65,
Mayanja Primary School,Rakai,6,16,
Nabubaale Primary School,Rakai,1,47,
Mannya P7 School,Rakai,25,59,
Kasomolo Primary School,Rakai,7,34,
Magabi Gayaza Primary School,Rakai,11,53,
Rakai Primary School,Rakai,10,48,
Kabuta Kiruuli Primary School,Rakai,38,86,
Kanoni Primary School,Rakai,12,26,
St.Francis Of Assisi Kamaggwa,Rakai,1,45,
Kyotera Central Ps,Rakai,28,54,
Kamukalo Primary School,Rakai,1,44,
Nazareth Primary School,Rakai,34,62,
Hope Primary School,Rakai,10,18,
Matale Hill Primary School,Rakai,13,51,
St.John Ps,Rakai,23,39,
Sabina Board School,Rakai,18,30,
Ssanje Modern Primary School,Rakai,17,27,
Ddyango Ps,Rakai,1,69,
Mutukula Primary School,Rakai,26,38,
Nyanja Ps,Rakai,1,39,
kabasumba C/U Ps,Rakai,13,39,
St.Paul Kaaso Primary School,Rakai,39,50,
Kibuuka Primary School,Rakai,1,60,
MatAle Mixed Primary School,Rakai,1,59,
Kasozi Primary School,Rakai,1,38,
Kasozi Primary School,Rakai,1,38,
Nabbungo Fountains Of Edu,Rakai,55,56,
St.Cecilia Brd.School Buyamba,Rakai,91,91,
Katsyoha Primary School,Rubirizi,2,57,
Katsyoha Primary School,Rubirizi,2,57,
Kacu Primary School,Rubirizi,1,30,
Katsyoha Primary School,Rubirizi,2,57,
Rugyenda Primary School,Rubirizi,1,27,
Katanda Primary School,Rubirizi,1,87,
Kisharu Primary School ,Rubirizi,2,16,
Mushangi Primary School,Rubirizi,18,142,
Kikumbo Primary School,Rubirizi,3,23,
Ndekye Boys Primary School,Rubirizi,4,83,
Ndekye Boys Primary School,Rubirizi,4,83,
Rwemitagu Primary School,Rubirizi,2,40,
Mushumba Primry School,Rubirizi,4,60,
Mwongera Primary School,Rubirizi,6,65,
Mwongyera Primary School,Rubirizi,6,65,
Mwongyera Primary School,Rubirizi,6,65,
Mugogo Primary School,Rubirizi,4,43,
Kirungu Primary School,Rubirizi,4,74,
Mugyera Primary School,Rubirizi,2,37,
Rugazi Central School,Rubirizi,6,64,
Katerera Town Centre P/S,Rubirizi,2,29,
Kichwamba Primary School,Rubirizi,6,106,
Kyambura Primary School,Rubirizi,5,35,
Kyamwiru Primary School,Rubirizi,12,82,
Kirugu Moslem Primary School,Rubirizi,7,47,
Makanga Primary School,Rubirizi,3,29,
Rugando Li Primary School,Rubirizi,9,52,
Rugazi Parents Primary School,Rubirizi,18,66,
Rumuri Primary School,Rubirizi,22,79,
Ndangaro Primary School,Rubirizi,4,22,
All Saints Prep.P/S,Rubirizi,Rubirizi,35,29.9806
Buzenga Primary School,Rubirizi,4,21,
Buhinda Primary School,Rubirizi,19,46,
Kakaari Primary School,Rubirizi,8,19,
Katerera S.D.A P/S,Rubirizi,12,24,
Kyenzaza Integrated P/S,Rubirizi,21,82,
Karagara Primary School,Rubirizi,163,269,
Rutoto Primary School,Rubirizi,28,34,
Nyabushenyi Lower Pri.School,Rukungiri,1,36,
Rusheshe Primary School,Rukungiri,1,30,
Bugyera-Kitojo Primary School,Rukungiri,1,32,
Katobotobo Primary School,Rukungiri,1,26,
Nyakishenyi Primary School,Rukungiri,10,89,
Kayanga  Primary School,Rukungiri,1,22,
Murago,Rukungiri,6,63,
Murago Primary School,Rukungiri,6,63,
Bugangari Primary School,Rukungiri,5,49,
Nangara Primary School,Rukungiri,3,38,
Kanombe Primary School,Rukungiri,4,36,
Omurutooma Primary School,Rukungiri,24,52,
Rukungiri Prepatory P/S,Rukungiri,8,18,
Kacheri P.7 Sch,Soroti,1,28,
Kakoma Primary School,Soroti,1,28,
Hilders Primary School,Soroti,17,151,
Majengo Primary School,Soroti,20,207,
Amen Primary School,Soroti,11,126,
Shalom Primary School,Soroti,17,48,
Jameler Primary School,Soroti,33,85,
Bukaana Muslim Primary School,Ssembabule,2,71,
Ntuusi Primary School,Ssembabule,1,35,
Kyakayege Primary School,Ssembabule,2,60,
Mbale Islamic Primary School,Ssembabule,1,34,
Mayikalo Primary School,Ssembabule,1,33,
Mayikalo Primary School,Ssembabule,1,33,
Kirebe Muslim Primary School,Ssembabule,2,52,
Nakasenyi Primary School,Ssembabule,1,31,
Kibengo Primary school,Ssembabule,1,31,
St.Charles Kasaalu P/S,Ssembabule,1,24,
Ssembabule R/CP/S,Ssembabule,3,26,
Kasongi Primary School,Ssembabule,6,51,
